id_cliente;cpf;nome_completo;endereco;telefone
1;;Quevin Bispo;13919-404,940,;
2;;Sara de Souza Alves;13919-405,604,;
3;;Evandro Silva;13919-406,289,;
4;;Zélia Neto;13919-407,233,;
5;;Tatiane Oliveira Teixeira;13919-408,488,;
6;;Gilberto Martim;13919-409,776,fundos;
7;;Ivo Souza;13919-410,413,;
8;;Tatiane Silva Souza;13919-411,47,;
9;;Umberto Oliveira Neto;13919-412,249,AP14 BL24;
10;;Gisele Matos;13919-413,231,;
11;;Douglas de Oliveira Oliveira;13919-414,444,;
12;;Timóteo Bispo;13919-415,77,;
13;;Hugo Bispo;13919-404,227,;
14;;Carla Bispo Júnior;13919-405,375,;
15;;Helena Matos;13919-406,421,AP14 BL26;
16;;Willian Oliveira Neto;13919-407,336,;
17;;Xeila Bispo;13919-408,210,;
18;;Flávia Alves;13919-409,30,;
19;;Paula Custódio Mattos;13919-410,886,fundos;
20;;Hugo Martins;13919-411,603,;
21;;Valéria Martins Custódio;13919-412,753,;
22;;Evandro Custódio Custódio;13919-413,536,AP44 BL10;
23;;Antônio Custódio;13919-414,769,;
24;;Carla Silva;13919-415,663,;
25;;Luis Filho Teixeira;13919-412,400,;
26;;Eva Júnior Júnior;13919-413,542,;
27;;Xailo Souza de Souza;13919-414,140,;
28;;Norberto Teixeira;13919-415,103,;
29;;Bruna Oliveira Neto;13919-404,93,;
